1,1,2,年,1,1,月,0,5,日,(,0,0,:,1,2,)
112年11月05日(00:12)
統計期,項目別,總計校數,公立校數,私立校數,總計學生數,公立學生數,私立學生數,總計教師數,公立教師數,私立教師數,總計上學期畢業生數,公立上學期畢業生數,私立上學期畢業生數
103學年,總計,"11,078","6,116","4,962","4,729,465","2,985,206","1,744,259","303,078","219,078","84,000","1,155,526","752,705","402,821"
103學年,幼兒園,"6,468","1,965","4,503","444,457","134,154","310,303","45,341","12,671","32,670",-,-,-
103學年,國小,"2,644","2,607",37,"1,252,762","1,218,479","34,283","98,580","96,742","1,838","242,831","237,575","5,256"
103學年,國中,738,721,17,"803,233","708,894","94,339","52,154","51,616",538,"267,798","238,449","29,349"
103學年,高級中等學校,503,292,211,"818,866","439,734","379,132","55,699","36,424","19,275","277,047","142,580","134,467"
103學年,大專校院,159,51,108,"1,339,849","434,655","905,194","49,357","19,783","29,574","311,041","109,548","201,493"
103學年,宗教研修學院,2,-,2,163,-,163,19,-,19,13,-,13
103學年,特殊教育學校,28,27,1,"6,417","6,302",115,"1,811","1,766",45,"2,086","2,075",11
103學年,國小補校,247,247,-,"9,568","9,568",-,-,-,-,"1,783","1,783",-
103學年,國中補校,195,192,3,"6,205","5,957",248,-,-,-,"1,848","1,780",68
103學年,空中及大專校院附設進修學校,94,14,80,"47,945","27,463","20,482",117,76,41,"16,769","7,449","9,320"
104學年,總計,"10,948","6,118","4,830","4,616,078","2,884,826","1,731,252","299,917","216,381","83,536","1,110,531","733,450","377,081"
104學年,幼兒園,"6,362","1,984","4,378","462,115","138,979","323,136","46,169","12,882","33,287",-,-,-
104學年,國小,"2,633","2,599",34,"1,214,360","1,179,134","35,226","97,368","95,488","1,880","230,012","224,771","5,241"
104學年,國中,733,720,13,"747,724","655,208","92,516","50,394","49,929",465,"276,628","245,604","31,024"
104學年,高級中等學校,506,295,211,"792,290","428,876","363,414","55,340","36,540","18,800","272,662","142,448","130,214"
104學年,大專校院,158,51,107,"1,332,445","435,888","896,557","48,696","19,699","28,997","309,849","107,513","202,336"
104學年,宗教研修學院,3,-,3,192,-,192,27,-,27,13,-,13
104學年,特殊教育學校,28,27,1,"6,261","6,147",114,"1,813","1,768",45,"2,105","2,080",25
104學年,國小補校,239,239,-,"9,536","9,536",-,-,-,-,"1,747","1,747",-
104學年,國中補校,193,190,3,"6,012","5,779",233,-,-,-,"1,643","1,571",72
104學年,空中及大專校院附設進修學校,93,13,80,"45,143","25,279","19,864",110,75,35,"15,872","7,716","8,156"
105學年,總計,"10,882","6,118","4,764","4,504,363","2,785,759","1,718,604","294,911","211,535","83,376","1,059,904","700,485","359,419"
105學年,幼兒園,"6,310","2,002","4,308","492,781","145,225","347,556","47,184","13,200","33,984",-,-,-
105學年,國小,"2,630","2,595",35,"1,173,885","1,138,119","35,766","95,081","93,157","1,924","214,785","209,506","5,279"
105學年,國中,736,722,14,"687,212","598,062","89,150","48,063","47,598",465,"265,886","234,812","31,074"
105學年,高級中等學校,506,295,211,"776,113","421,008","355,105","54,575","36,218","18,357","250,172","137,624","112,548"
105學年,大專校院,158,51,107,"1,309,441","437,680","871,761","48,096","19,557","28,539","309,277","107,164","202,113"
105學年,宗教研修學院,5,-,5,229,-,229,47,-,47,48,-,48
105學年,特殊教育學校,28,27,1,"6,188","6,105",83,"1,772","1,733",39,"1,906","1,874",32
105學年,國小補校,231,231,-,"9,594","9,594",-,-,-,-,"1,560","1,560",-
105學年,國中補校,185,182,3,"5,796","5,586",210,-,-,-,"1,696","1,622",74
105學年,空中及大專校院附設進修學校,93,13,80,"43,124","24,380","18,744",93,72,21,"14,574","6,323","8,251"
106學年,總計,"10,884","6,145","4,739","4,403,690","2,729,820","1,673,870","293,554","210,169","83,385","1,001,893","654,918","346,975"
106學年,幼兒園,"6,323","2,041","4,282","521,904","152,618","369,286","49,089","13,750","35,339",-,-,-
106學年,國小,"2,630","2,595",35,"1,146,661","1,109,917","36,744","94,403","92,467","1,936","208,832","203,277","5,555"
106學年,國中,732,719,13,"653,273","566,532","86,741","46,770","46,300",470,"236,042","206,503","29,539"
